red,green,blue,purple,,
"[[-0.12015333 -0.12015333 -0.12015333 -0.12015333 -0.12015333 -0.27520783
  -0.39916483 -0.32743144 -0.62535365 -0.14120149 -0.5958888  -0.31641404
  -0.44045666 -0.35152951 -0.44639038 -0.40959619 -0.49585523]
 [ 0.09380982  0.09380982  0.09380982  0.09380982  0.09380982  0.39305315
   0.10978398  0.44431447  0.05413733  0.41249181 -0.04626086  0.27996484
   0.10614427  0.23974746  0.06368058  0.22821272  0.07694258]
 [ 1.50351272  1.50351272  1.50351272  1.50351272  1.50351272  1.37188834
   1.37215861  1.06015044  1.08609448  0.82204192  0.85559023  0.80273694
   0.77709392  0.36341339  0.36251221 -0.02864601 -0.02631081]]","[[ 0.70622367  0.70622367  0.70622367  0.70622367  0.70622367  0.98311038
   0.69053298  1.14995791  0.61057669  1.09519088  0.55546535  1.15372473
   0.92349112  1.12803195  0.89711598  1.17585233  0.92038223]
 [-0.44503878 -0.44503878 -0.44503878 -0.44503878 -0.44503878 -0.29363255
  -0.16028684 -0.25371346 -0.19397233 -0.37011426 -0.34415411 -0.03433217
   0.05028461 -0.10261378 -0.03292157 -0.09527313 -0.0834664 ]
 [ 1.12459461  1.12459461  1.12459461  1.12459461  1.12459461  1.1937265
   1.14086572  0.94621017  0.79052027  0.73632863  0.54722028  0.82523153
   0.79452435  0.39790933  0.3741623  -0.05656832 -0.04062667]]","[[ 0.91822996  0.91822996  0.91822996  0.91822996  0.91822996  0.91342173
   1.15018919  0.79524317  1.19775442  0.80160855  0.95365333  1.01265606
   1.1649813   0.76484752  1.07406883  1.08097023  1.26444552]
 [-0.89205185 -0.89205185 -0.89205185 -0.89205185 -0.89205185 -1.20537598
  -1.05877717 -1.07054136 -0.94531018 -0.82856881 -0.84393063 -1.31690812
  -1.19382117 -0.99462509 -0.85706079 -1.1927722  -1.23644846]
 [ 0.64743525  0.64743525  0.64743525  0.64743525  0.64743525  0.69305519
   0.630174    0.44183645  0.34102496  0.47188578  0.36508671  0.2381233
   0.17919397  0.34217948 -0.0501787  -0.0119928   0.02326165]]","[[ 0.7442517   0.7442517   0.7442517   0.7442517   0.7442517   0.3490099
   0.56113918  0.29579054  0.62664261  0.46618532  0.57965296  0.31879077
   0.44695414  0.25059077  0.48539547  0.26500821  0.52568235]
 [-0.42277812 -0.42277812 -0.42277812 -0.42277812 -0.42277812 -0.24418907
  -0.15733742 -0.22630133 -0.20922124 -0.32212341 -0.29834976 -0.14280801
  -0.08327602 -0.25616114 -0.36844661 -0.18022619 -0.30510627]
 [ 1.1246217   1.1246217   1.1246217   1.1246217   1.1246217   1.16498044
   1.14505248  0.92565735  0.84866388  0.78385254  0.73925752  0.85965254
   0.83180475  0.93183852  0.61527198  0.68531113  0.58269368]]",,
"[[-0.49973798 -0.49973798 -0.49973798 -0.49973798 -0.49973798 -0.75941693
  -0.72081628 -0.8114202  -0.72987695 -0.73670599 -0.59001416 -0.7191675
  -0.68707168 -0.7015483  -0.69638229 -0.69564229 -0.77906469]
 [-0.57364829 -0.57364829 -0.57364829 -0.57364829 -0.57364829 -0.42890497
  -0.74484379 -0.36947492 -0.81629767 -0.30795107 -0.78354834 -0.45619011
  -0.66684041 -0.4757428  -0.6749954  -0.36639765 -0.68741266]
 [ 1.39111981  1.39111981  1.39111981  1.39111981  1.39111981  1.29736901
   1.28756002  1.01554801  1.01184145  0.7565625   0.71860997  0.71465203
   0.71628441  0.34770534  0.36168049  0.09940238 -0.02018683]]","[[ 0.68096121  0.68096121  0.68096121  0.68096121  0.68096121  0.96060009
   0.66832527  1.06945176  0.60691065  1.02311773  0.55390246  1.16520104
   0.88713316  1.13989048  0.88956343  1.18430288  0.93222049]
 [-0.44778283 -0.44778283 -0.44778283 -0.44778283 -0.44778283 -0.33151967
  -0.18763051 -0.33502078 -0.19806254 -0.4632089  -0.33114003 -0.02393113
   0.00423318 -0.1103964  -0.03459232 -0.10011752 -0.0763285 ]
 [ 1.09058439  1.09058439  1.09058439  1.09058439  1.09058439  1.16687818
   1.11459408  0.87450228  0.80097272  0.71530464  0.53400706  0.76864596
   0.77300925  0.39291788  0.36489831 -0.05089086 -0.06005316]]","[[ 0.91745585  0.91745585  0.91745585  0.91745585  0.91745585  0.91537606
   1.1786875   0.78455553  1.20756606  0.81151843  1.00774006  1.02124256
   1.1840776   0.73991811  1.06317255  1.08199888  1.26111276]
 [-0.89981885 -0.89981885 -0.89981885 -0.89981885 -0.89981885 -1.20529215
  -1.05635893 -1.07055279 -0.93528376 -0.82437636 -0.78663292 -1.31343634
  -1.19610224 -0.99764918 -0.86706851 -1.1897253  -1.2367496 ]
 [ 0.6444472   0.6444472   0.6444472   0.6444472   0.6444472   0.68640567
   0.6378102   0.44608663  0.33906306  0.47381872  0.37176241  0.22879846
   0.18443153  0.34398596 -0.05815701 -0.00583832  0.02416983]]","[[-0.16141051 -0.16141051 -0.16141051 -0.16141051 -0.16141051 -0.25274572
  -0.45534125 -0.24098146 -0.55480674 -0.12881028 -0.35298537 -0.32319809
  -0.4598891  -0.35584525 -0.45632701 -0.41897144 -0.517088  ]
 [ 0.10355546  0.10355546  0.10355546  0.10355546  0.10355546  0.36529063
   0.12221087  0.44019779  0.05847589  0.40467658 -0.06525742  0.30747134
   0.13810168  0.2546218   0.07668406  0.22020516  0.07479997]
 [ 1.49790393  1.49790393  1.49790393  1.49790393  1.49790393  1.36049842
   1.37728142  1.06289762  1.09146322  0.82342563  0.86963725  0.78712147
   0.78690193  0.36979231  0.36629133 -0.0423847  -0.01515341]]",,
"[[-0.52004992 -0.52004992 -0.52004992 -0.52004992 -0.52004992 -0.78208432
  -0.76699764 -0.8429838  -0.77467225 -0.7730385  -0.65719882 -0.82038768
  -0.7554691  -0.69687176 -0.73553288 -0.74947043 -0.74654932]
 [-0.64224242 -0.64224242 -0.64224242 -0.64224242 -0.64224242 -0.48959694
  -0.80197495 -0.43660602 -0.84760283 -0.34653158 -0.89151813 -0.49494833
  -0.71412647 -0.41632935 -0.69896259 -0.33064157 -0.4948538 ]
 [ 1.38089822  1.38089822  1.38089822  1.38089822  1.38089822  1.30996727
   1.27357347  1.05021172  1.02182123  0.79243291  0.76005628  0.75715308
   0.75049409  0.36272003  0.38713242  0.11243622  0.2397351 ]]","[[ 0.65851554  0.65851554  0.65851554  0.65851554  0.65851554  0.83167827
   0.66877257  0.91559063  0.59430236  1.00872509  0.56262079  1.10165508
   0.92630961  1.12583654  0.87206909  1.18029312  0.93491119]
 [-0.45532388 -0.45532388 -0.45532388 -0.45532388 -0.45532388 -0.33157739
  -0.19118724 -0.33238342 -0.18662481 -0.4434227  -0.33082514 -0.0696478
   0.03328255 -0.11705867 -0.10394721 -0.09795896 -0.06995061]
 [ 1.07168121  1.07168121  1.07168121  1.07168121  1.07168121  1.14546568
   1.11261921  0.83900602  0.77261298  0.70499157  0.52857289  0.79165685
   0.7711226   0.38062149  0.36647105 -0.05883318 -0.05557585]]","[[ 0.91771074  0.91771074  0.91771074  0.91771074  0.91771074  0.93240498
   1.16843485  0.78119812  1.21832439  0.83084959  1.01187884  1.03249026
   1.19020907  0.74860925  1.07308861  1.08525921  1.27158878]
 [-0.90583214 -0.90583214 -0.90583214 -0.90583214 -0.90583214 -1.20288909
  -1.06016609 -1.07876544 -0.94380236 -0.81655383 -0.7978342  -1.31853532
  -1.19203046 -0.99973995 -0.85714928 -1.19010355 -1.23183148]
 [ 0.64244491  0.64244491  0.64244491  0.64244491  0.64244491  0.69156075
   0.62996652  0.44492279  0.33507698  0.45837791  0.36095827  0.22434797
   0.18173086  0.34874297 -0.05511626 -0.00980685  0.02438628]]","[[-0.16001713 -0.16001713 -0.16001713 -0.16001713 -0.16001713 -0.25700642
  -0.45307684 -0.24265366 -0.48847383 -0.1319201  -0.36309731 -0.33432743
  -0.47414662 -0.35013222 -0.46107002 -0.42144634 -0.52209044]
 [ 0.10241325  0.10241325  0.10241325  0.10241325  0.10241325  0.35755274
   0.11616096  0.44141619  0.06840213  0.40569278 -0.04624297  0.30745451
   0.12792503  0.24903842  0.08019338  0.2294616   0.07190854]
 [ 1.49378504  1.49378504  1.49378504  1.49378504  1.49378504  1.36962763
   1.37183154  1.06281378  1.09716106  0.82834862  0.86905446  0.80116229
   0.80240689  0.37816346  0.38470092 -0.03656084 -0.01845889]]",,
"[[-0.58370225 -0.58370225 -0.58370225 -0.58370225 -0.58370225 -0.79727821
  -0.84108911 -0.81943794 -0.88983807 -0.72150838 -0.78438617 -0.82258979
  -0.77986224 -0.78779859 -0.75590851 -0.80341618 -0.70807765]
 [-0.58684596 -0.58684596 -0.58684596 -0.58684596 -0.58684596 -0.38737207
  -0.7058383  -0.30421803 -0.75390731 -0.2648518  -0.78049193 -0.44163876
  -0.64163781 -0.39116653 -0.66866264 -0.19774845 -0.73218843]
 [ 1.43541185  1.43541185  1.43541185  1.43541185  1.43541185  1.31513218
   1.2722881   1.01796719  0.9956428   0.7986959   0.73434773  0.70822536
   0.68529849  0.33661616  0.37253625  0.20916433 -0.05696891]]","[[ 0.6715411   0.6715411   0.6715411   0.6715411   0.6715411   0.95989828
   0.65825775  1.04273947  0.64737311  0.97213864  0.56786547  1.09529678
   0.88956834  1.12041959  0.69745602  1.17368597  0.92344167]
 [-0.48193818 -0.48193818 -0.48193818 -0.48193818 -0.48193818 -0.35221816
  -0.20651433 -0.34983288 -0.21528694 -0.45704478 -0.34421756 -0.07712764
  -0.15176171 -0.12759263 -0.19486651 -0.09681091 -0.06850865]
 [ 1.09956098  1.09956098  1.09956098  1.09956098  1.09956098  1.15078294
   1.09707152  0.85653568  0.78117009  0.70411483  0.52382457  0.79850189
   0.70394026  0.38057412  0.41963969 -0.05765032 -0.04041861]]","[[ 0.92035605  0.92035605  0.92035605  0.92035605  0.92035605  0.93131031
   1.18888651  0.7802428   1.21091532  0.80264379  1.00359247  1.02239467
   1.17089659  0.74138135  1.06644593  1.07411971  1.2837036 ]
 [-0.8975626  -0.8975626  -0.8975626  -0.8975626  -0.8975626  -1.20289679
  -1.04712172 -1.07158138 -0.94248435 -0.81652317 -0.80142213 -1.31651608
  -1.19520093 -0.99982365 -0.8600776  -1.19564063 -1.22407893]
 [ 0.64135006  0.64135006  0.64135006  0.64135006  0.64135006  0.68913958
   0.63161816  0.44694641  0.33675026  0.44752015  0.34956678  0.23165446
   0.18048843  0.35263187 -0.05161099 -0.00623203  0.02574254]]","[[-0.172099   -0.172099   -0.172099   -0.172099   -0.172099   -0.262338
  -0.43283678 -0.25463538 -0.4978069  -0.14678586 -0.3651536  -0.33093287
  -0.44394723 -0.35568579 -0.43784028 -0.42531844 -0.49001741]
 [ 0.07933885  0.07933885  0.07933885  0.07933885  0.07933885  0.35430791
   0.11768935  0.44770033  0.05628683  0.41263138 -0.04505035  0.30065175
   0.12725791  0.24832175  0.07619492  0.21623942  0.0691732 ]
 [ 1.49457359  1.49457359  1.49457359  1.49457359  1.49457359  1.37311997
   1.3811847   1.06974478  1.06929028  0.82289301  0.83759086  0.79200085
   0.78489237  0.36971003  0.36511111 -0.04013717 -0.02776583]]",,
"[[ 0.63701522  0.63701522  0.63701522  0.63701522  0.63701522  0.93468852
   0.65387612  1.0605334   0.61542875  0.98550575  0.55697338  1.10487656
   0.87945443  1.11787218  0.88517528  1.1858251   0.91904036]
 [-0.47545949 -0.47545949 -0.47545949 -0.47545949 -0.47545949 -0.35635945
  -0.2236515  -0.31538278 -0.2450302  -0.45089792 -0.34715274 -0.03031414
  -0.00185143 -0.11666717 -0.04588263 -0.10733535 -0.06028884]
 [ 1.08500154  1.08500154  1.08500154  1.08500154  1.08500154  1.16007398
   1.11213664  0.89471643  0.75064045  0.69727409  0.53860028  0.82206833
   0.77000802  0.38811008  0.37047989 -0.05273567 -0.05737331]]","[[ 0.92676487  0.92676487  0.92676487  0.92676487  0.92676487  0.90948981
   1.19270461  0.77411479  1.22097858  0.80415264  0.99853893  1.03842469
   1.18755149  0.72011213  1.06714208  1.07798672  1.2565621 ]
 [-0.87481252 -0.87481252 -0.87481252 -0.87481252 -0.87481252 -1.19169976
  -1.02769757 -1.06097615 -0.93091218 -0.80370375 -0.7999519  -1.30447203
  -1.18381902 -0.99612056 -0.85364166 -1.19022401 -1.23171772]
 [ 0.63460229  0.63460229  0.63460229  0.63460229  0.63460229  0.69260981
   0.63294941  0.44149606  0.33110744  0.4397555   0.34705069  0.23617675
   0.18658819  0.34909772 -0.05176685 -0.00271072  0.02573979]]","[[-0.61991112 -0.61991112 -0.61991112 -0.61991112 -0.61991112 -0.80925059
  -0.8562726  -0.73227093 -0.89206361 -0.6173567  -0.86908971 -0.84229822
  -0.86073265 -0.78368657 -0.71070776 -0.79743839 -0.72231557]
 [-0.47469859 -0.47469859 -0.47469859 -0.47469859 -0.47469859 -0.25224175
  -0.56626528 -0.33475711 -0.57095156 -0.28339873 -0.66941772 -0.31829538
  -0.51580968 -0.34926852 -0.56611413 -0.19428961 -0.67141845]
 [ 1.38949078  1.38949078  1.38949078  1.38949078  1.38949078  1.28800125
   1.28018292  0.98426483  0.9884274   0.79152785  0.77745748  0.73049983
   0.73693504  0.37736597  0.3970717   0.2042078  -0.03513839]]","[[-0.17064108 -0.17064108 -0.17064108 -0.17064108 -0.17064108 -0.25720173
  -0.44473516 -0.24603185 -0.49321609 -0.14421122 -0.33314937 -0.32237862
  -0.44927903 -0.35288572 -0.45187698 -0.42532125 -0.49544324]
 [ 0.09506432  0.09506432  0.09506432  0.09506432  0.09506432  0.36725686
   0.09566726  0.4422424   0.06022159  0.40308156 -0.04990646  0.30672558
   0.1251508   0.24532157  0.07767206  0.23223725  0.07633969]
 [ 1.48836033  1.48836033  1.48836033  1.48836033  1.48836033  1.37585435
   1.37660845  1.06840984  1.06240215  0.83008027  0.8416696   0.79557487
   0.79112833  0.37389758  0.36641649 -0.03424789 -0.02119556]]",,
"[[ 0.60425341  0.60425341  0.60425341  0.60425341  0.60425341  0.92646482
   0.65314886  1.05886766  0.59282733  0.98081581  0.5666669   1.10394758
   0.87754933  1.1274014   0.88995469  1.18400254  0.93149249]
 [-0.43226055 -0.43226055 -0.43226055 -0.43226055 -0.43226055 -0.29095971
  -0.20319249 -0.32140996 -0.22090832 -0.45250494 -0.33776198 -0.02193527
  -0.00372171 -0.11505293 -0.04735198 -0.10827924 -0.0687444 ]
 [ 1.10623206  1.10623206  1.10623206  1.10623206  1.10623206  1.14898544
   1.10204037  0.89838003  0.77448316  0.6949341   0.52588494  0.82337114
   0.77084835  0.39017874  0.3771379  -0.05247273 -0.04679103]]","[[-0.63826112 -0.63826112 -0.63826112 -0.63826112 -0.63826112 -0.81660585
  -0.85236227 -0.84261305 -0.8873324  -0.81008107 -0.86551946 -0.86958571
  -0.84180689 -0.78797863 -0.77736445 -0.75594926 -0.75147652]
 [-0.45253206 -0.45253206 -0.45253206 -0.45253206 -0.45253206 -0.21868714
  -0.53881924 -0.15065026 -0.58883767 -0.09327351 -0.58322393 -0.25064801
  -0.48775911 -0.33765747 -0.5578603  -0.35094138 -0.63051346]
 [ 1.40506844  1.40506844  1.40506844  1.40506844  1.40506844  1.28793461
   1.27304973  1.00535433  0.99495427  0.79656417  0.80028858  0.80289159
   0.78064369  0.35164376  0.36684032  0.12102459 -0.04720772]]","[[ 0.70619696  0.70619696  0.70619696  0.70619696  0.70619696  0.93369542
   0.95426434  0.60299095  0.60108841  0.3928102   0.64621898  1.06357929
   1.06455415  0.73222703  0.68670601  0.8807701   1.15952426]
 [-1.00121408 -1.00121408 -1.00121408 -1.00121408 -1.00121408 -1.18184678
  -1.16740778 -1.12044643 -1.14676863 -1.02039812 -1.05400388 -1.30501561
  -1.30788093 -1.0003345  -1.04126298 -1.20814174 -1.28225611]
 [ 0.67532468  0.67532468  0.67532468  0.67532468  0.67532468  0.69341019
   0.62570884  0.47096305  0.46595379  0.50598416  0.32064994  0.24527992
   0.18708284  0.30166857  0.20140306  0.04289725  0.02758124]]","[[-0.16979137 -0.16979137 -0.16979137 -0.16979137 -0.16979137 -0.26399291
  -0.4316517  -0.24854103 -0.4765992  -0.14402651 -0.36652978 -0.3169906
  -0.43508975 -0.35370054 -0.45382076 -0.27000343 -0.3623128 ]
 [ 0.09341206  0.09341206  0.09341206  0.09341206  0.09341206  0.36240225
   0.08545667  0.44026964  0.04285999  0.39491745 -0.05383984  0.28822788
   0.09990011  0.24176843  0.06838267  0.24337474  0.26884709]
 [ 1.47841477  1.47841477  1.47841477  1.47841477  1.47841477  1.36628345
   1.38239248  1.06580935  1.07397727  0.82431371  0.83118783  0.80420959
   0.7853261   0.37767992  0.37155336  0.08032608  0.14552093]]",,
"[[ 0.60325663  0.60325663  0.60325663  0.60325663  0.60325663  0.93258211
   0.66223921  1.03796324  0.59984455  1.0194341   0.56525667  1.11797484
   0.88907073  1.12376231  0.88401245  1.18124809  0.93550622]
 [-0.42922083 -0.42922083 -0.42922083 -0.42922083 -0.42922083 -0.36025029
  -0.20093033 -0.31504754 -0.21859725 -0.43673578 -0.33721357 -0.01242582
  -0.00216882 -0.12022503 -0.06383922 -0.10652315 -0.06699895]
 [ 1.10886347  1.10886347  1.10886347  1.10886347  1.10886347  1.16524234
   1.10834347  0.88777659  0.76650883  0.70868202  0.52467478  0.81826987
   0.78308228  0.38798093  0.37152046 -0.04766189 -0.05149651]]","[[-0.64712753 -0.64712753 -0.64712753 -0.64712753 -0.64712753 -0.84587874
  -0.84904284 -0.8406315  -0.91515071 -0.76843614 -0.84897465 -0.86198103
  -0.92101274 -0.80478585 -0.75886992 -0.77114243 -0.73747625]
 [-0.40742699 -0.40742699 -0.40742699 -0.40742699 -0.40742699 -0.22052507
  -0.53601902 -0.15511717 -0.59506062 -0.12176815 -0.57828282 -0.24493785
  -0.48831868 -0.33948776 -0.56070007 -0.3516403  -0.64370431]
 [ 1.42737345  1.42737345  1.42737345  1.42737345  1.42737345  1.27683952
   1.2739535   0.9886002   0.99211407  0.797757    0.79934558  0.79752253
   0.79188924  0.35367534  0.36800098  0.12913951 -0.03706218]]","[[ 0.72862013  0.72862013  0.72862013  0.72862013  0.72862013  0.93459069
   1.21848472  0.64964448  0.62950047  0.48029787  1.06416216  1.02380024
   1.09131627  0.7248305   0.70746671  0.89873855  1.15030403]
 [-0.9943817  -0.9943817  -0.9943817  -0.9943817  -0.9943817  -1.16873673
  -0.99862095 -1.1199199  -1.13429659 -0.95569167 -0.77894214 -1.31116195
  -1.29363627 -0.9983878  -1.03270009 -1.20822653 -1.28135054]
 [ 0.66937974  0.66937974  0.66937974  0.66937974  0.66937974  0.69531442
   0.62086883  0.43072575  0.48404283  0.49461994  0.34899019  0.27128761
   0.21003139  0.31364409  0.23138751  0.0279919   0.01296455]]","[[-0.17654883 -0.17654883 -0.17654883 -0.17654883 -0.17654883 -0.26035516
  -0.44423025 -0.24793148 -0.48259517 -0.13671673 -0.3747212  -0.30125883
  -0.42287961 -0.32299275 -0.45453727 -0.3697539  -0.49458977]
 [ 0.08786983  0.08786983  0.08786983  0.08786983  0.08786983  0.36617858
   0.09415258  0.44722263  0.04630138  0.41210902 -0.05536193  0.31280037
   0.09219916  0.22633841  0.07348372  0.31443745  0.07764194]
 [ 1.48130523  1.48130523  1.48130523  1.48130523  1.48130523  1.37256281
   1.37510756  1.07580374  1.07517328  0.83002079  0.8535648   0.80827767
   0.78570553  0.373875    0.3828295   0.1521801  -0.02737456]]",,
"[[ 0.60976191  0.60976191  0.60976191  0.60976191  0.60976191  0.92954336
   0.66391886  1.04803934  0.61041744  1.01620699  0.57268188  1.09351068
   0.87397815  1.13095479  0.88450504  1.17610919  0.91896688]
 [-0.37411101 -0.37411101 -0.37411101 -0.37411101 -0.37411101 -0.27302767
  -0.19034989 -0.26492273 -0.17708372 -0.44150059 -0.32780877 -0.08828174
  -0.01579499 -0.12194554 -0.05680606 -0.10612003 -0.06506284]
 [ 1.14315805  1.14315805  1.14315805  1.14315805  1.14315805  1.14621484
   1.11412736  0.905586    0.79053114  0.71673141  0.55504517  0.78287141
   0.77790173  0.36576379  0.36355101 -0.06028603 -0.06246691]]","[[ 0.96336238  0.96336238  0.96336238  0.96336238  0.96336238  0.94571025
   1.22497116  0.76495929  1.24706494  0.78633041  1.07120166  1.0048535
   1.19916657  0.782051    1.08704323  1.06792957  1.27881065]
 [-0.83739898 -0.83739898 -0.83739898 -0.83739898 -0.83739898 -1.15702775
  -0.99649118 -1.04761021 -0.89678448 -0.79467261 -0.74397541 -1.31525104
  -1.17529374 -0.96378499 -0.85166561 -1.19135135 -1.21402311]
 [ 0.63206046  0.63206046  0.63206046  0.63206046  0.63206046  0.68847655
   0.62109951  0.44413647  0.33440211  0.42649583  0.35063669  0.24785175
   0.18754932  0.33161585 -0.04166072 -0.00904743  0.03335548]]","[[-0.63441267 -0.63441267 -0.63441267 -0.63441267 -0.63441267 -0.716215
  -0.85600243 -0.62248293 -0.64731127 -0.77807545 -0.59938845 -0.39119544
  -0.46737725 -0.37802916 -0.48944533 -0.43122019 -0.47657221]
 [-0.4315146  -0.4315146  -0.4315146  -0.4315146  -0.4315146  -0.21429825
  -0.54347006 -0.13738764  0.02461795 -0.1221661  -0.10159463  0.30354659
   0.09376815  0.24375276  0.07113688  0.23432728  0.07627808]
 [ 1.43687838  1.43687838  1.43687838  1.43687838  1.43687838  1.29612794
   1.27887834  1.01508312  1.01757337  0.81425479  0.76559211  0.78807366
   0.7951563   0.36915499  0.37903857 -0.0102814   0.00643027]]",,,
"[[ 0.62482141  0.62482141  0.62482141  0.62482141  0.62482141  0.97845329
   0.67238767  1.05443614  0.63671598  1.02051241  0.5622435   1.10946501
   0.92419711  1.12152466  0.88754581  1.16929758  0.92933968]
 [-0.47092443 -0.47092443 -0.47092443 -0.47092443 -0.47092443 -0.30522537
  -0.1795084  -0.26905434 -0.11172899 -0.3959457  -0.30958863 -0.0334212
   0.03220001 -0.10823647 -0.04653239 -0.09794415 -0.06432934]
 [ 1.14667236  1.14667236  1.14667236  1.14667236  1.14667236  1.17503852
   1.13506556  0.91846968  0.81523737  0.73201236  0.67047021  0.7931207
   0.78840257  0.38744793  0.37996355 -0.0536075  -0.05454294]]","[[-0.59348166 -0.59348166 -0.59348166 -0.59348166 -0.59348166 -0.77883215
  -0.80602517 -0.72713316 -0.8765152  -0.73590024 -0.88121997 -0.75053367
  -0.79835412 -0.81497642 -0.70353551 -0.74782882 -0.68727851]
 [-0.46320821 -0.46320821 -0.46320821 -0.46320821 -0.46320821 -0.27007299
  -0.59692605 -0.36047332 -0.64270361 -0.17477966 -0.67351087 -0.49240616
  -0.56322597 -0.35656718 -0.60729048 -0.3602384  -0.42589681]
 [ 1.42401055  1.42401055  1.42401055  1.42401055  1.42401055  1.28135872
   1.28799163  0.97472036  0.9881744   0.75753781  0.73981268  0.67344929
   0.68291112  0.33463541  0.32908381  0.12632579  0.23579856]]","[[ 0.97783228  0.97783228  0.97783228  0.97783228  0.97783228  0.93276843
   1.22757485  0.78198495  1.24624621  0.80358224  1.04941603  1.00065377
   1.19298656  0.77175088  1.08858733  1.06560536  1.27998974]
 [-0.82697226 -0.82697226 -0.82697226 -0.82697226 -0.82697226 -1.15326469
  -0.98681985 -1.04382546 -0.89742769 -0.79707651 -0.74545971 -1.31376449
  -1.17498292 -0.96766647 -0.84763669 -1.18977507 -1.2168678 ]
 [ 0.62806224  0.62806224  0.62806224  0.62806224  0.62806224  0.69073475
   0.61842818  0.4407255   0.32761965  0.43613638  0.34991898  0.25304598
   0.19174804  0.33587774 -0.04555681 -0.00312765  0.02901657]]","[[-0.17255942 -0.17255942 -0.17255942 -0.17255942 -0.17255942 -0.26167287
  -0.43526075 -0.25971147 -0.48689466 -0.15293886 -0.36263212 -0.33072523
  -0.44658208 -0.35741064 -0.45460741 -0.42125525 -0.4939054 ]
 [ 0.08610934  0.08610934  0.08610934  0.08610934  0.08610934  0.36537296
   0.07897484  0.44910783  0.05155926  0.40976232 -0.04670397  0.31213396
   0.10572582  0.25193365  0.06923413  0.22229603  0.08034326]
 [ 1.49438834  1.49438834  1.49438834  1.49438834  1.49438834  1.3689154
   1.37698065  1.06779333  1.0737981   0.82836506  0.83284892  0.80475739
   0.79826815  0.37550936  0.36753204 -0.03404636 -0.02111474]]",,
"[[-0.50952241 -0.50952241 -0.50952241 -0.50952241 -0.50952241 -0.72883786
  -0.73239426 -0.72757903 -0.83861175 -0.5614641  -0.73652671 -0.74703549
  -0.74752146 -0.76038276 -0.66130199 -0.79251574 -0.69036499]
 [-0.57156645 -0.57156645 -0.57156645 -0.57156645 -0.57156645 -0.37777007
  -0.69515419 -0.34680677 -0.74434409 -0.47202798 -0.78625794 -0.42814148
  -0.60867237 -0.40179731 -0.65583104 -0.20444998 -0.65746861]
 [ 1.39199473  1.39199473  1.39199473  1.39199473  1.39199473  1.29920489
   1.26231593  0.97625182  1.00104994  0.68253926  0.75665471  0.73097561
   0.71517533  0.35901043  0.35174501  0.19651111 -0.04290802]]","[[ 0.94646914  0.94646914  0.94646914  0.94646914  0.94646914  0.93367067
   1.21643358  0.79346084  1.24340181  0.80939104  1.05074457  1.00634777
   1.19044751  0.77216892  1.08141266  1.06935582  1.27083136]
 [-0.84426409 -0.84426409 -0.84426409 -0.84426409 -0.84426409 -1.16208788
  -1.00078746 -1.03848847 -0.89593236 -0.79785881 -0.74595461 -1.31528516
  -1.18118573 -0.96597394 -0.850371   -1.19023429 -1.22051824]
 [ 0.63436806  0.63436806  0.63436806  0.63436806  0.63436806  0.68809399
   0.6213959   0.43949297  0.33013442  0.43654094  0.3476213   0.25034687
   0.18419161  0.32985248 -0.04537624 -0.0047836   0.02861556]]","[[ 0.66841214  0.66841214  0.66841214  0.66841214  0.66841214  0.98986513
   0.68615895  1.07992418  0.7235018   0.82914111  0.64964492  1.11683111
   0.89454525  1.12440408  0.89549229  1.18662376  0.938266  ]
 [-0.43930129 -0.43930129 -0.43930129 -0.43930129 -0.43930129 -0.30682141
  -0.16629178 -0.23744629 -0.0706044  -0.34687214 -0.23039523 -0.17230474
  -0.08937825 -0.11856529 -0.04344175 -0.10045733 -0.07749389]
 [ 1.14484384  1.14484384  1.14484384  1.14484384  1.14484384  1.18142781
   1.15342638  0.93809398  0.88605458  0.7806667   0.78317545  0.81434299
   0.82112999  0.38759635  0.37564075 -0.05254862 -0.05894804]]","[[-0.17655913 -0.17655913 -0.17655913 -0.17655913 -0.17655913 -0.26411968
  -0.45114642 -0.26411047 -0.49089253 -0.15741431 -0.34157596 -0.33387937
  -0.46180423 -0.36246231 -0.47402631 -0.43025538 -0.50995661]
 [ 0.08973019  0.08973019  0.08973019  0.08973019  0.08973019  0.35881103
   0.10486126  0.43939834  0.05491801  0.40852218 -0.03020916  0.30837478
   0.13506542  0.24755206  0.08286281  0.21881942  0.07957524]
 [ 1.49127238  1.49127238  1.49127238  1.49127238  1.49127238  1.36488499
   1.37306416  1.06321356  1.08183525  0.82103337  0.86837053  0.81614291
   0.80820946  0.39085937  0.39997685 -0.03705101 -0.01083973]]",,
