red,green,blue,purple
"[[ 1.13666131  1.13666131  1.13666131  1.13666131  1.13666131  1.31969741
   1.3258008   1.34725538  1.32354325  1.27777924  1.22724141  1.32550262
   1.31230106  1.35767608  1.36746037  1.43264952  1.43171021]
 [-0.16855907 -0.16855907 -0.16855907 -0.16855907 -0.16855907 -0.36070926
  -0.02401848 -0.48084221  0.034772   -0.50364804  0.01972085 -0.35341827
  -0.11954949 -0.39491299 -0.15825502 -0.42893976 -0.21608182]
 [ 1.55941834  1.55941834  1.55941834  1.55941834  1.55941834  1.38399987
   1.35618991  1.1108699   1.05433169  0.88635994  0.80960295  0.80297173
   0.80833509  0.35709302  0.36887068 -0.03014095  0.04548059]]","[[-0.13588996 -0.13588996 -0.13588996 -0.13588996 -0.13588996 -0.3513536
  -0.26550093 -0.41134665 -0.17823657 -0.26718693  0.11221912 -0.32181501
  -0.33339424 -0.30141449 -0.33256303 -0.37507694 -0.36867491]
 [-0.29543507 -0.29543507 -0.29543507 -0.29543507 -0.29543507 -0.14436889
  -0.46506748 -0.08329714 -0.4644351  -0.08134033 -0.26510202 -0.19421355
  -0.39677917 -0.1676332  -0.40971778 -0.15075721 -0.41637867]
 [ 1.51809616  1.51809616  1.51809616  1.51809616  1.51809616  1.32365154
   1.31563587  1.02455249  1.03978224  0.80243155  1.05303563  0.77710862
   0.76987868  0.38485157  0.35912484  0.02956347  0.07437342]]","[[ 0.33647476  0.33647476  0.33647476  0.33647476  0.33647476  0.56687975
   0.2394524   0.5226159   0.10048965  0.30232528  0.19231175  0.48977283
   0.27597502  0.5110909   0.24455252  0.53868479  0.2120527 ]
 [ 0.10187191  0.10187191  0.10187191  0.10187191  0.10187191  0.23558335
   0.36671953  0.06880746  0.30070181 -0.09592994  0.14266691  0.29778052
   0.38182877  0.26837969  0.28652954  0.35118562  0.33071623]
 [ 1.56007073  1.56007073  1.56007073  1.56007073  1.56007073  1.3799483
   1.40001493  1.14318823  1.1661144   1.15406601  1.21094345  0.83869007
   0.83321292  0.39393036  0.40188623 -0.0313489  -0.0214415 ]]","[[ 0.94145321  0.94145321  0.94145321  0.94145321  0.94145321  1.10289125
   1.19348209  1.11849975  1.24551618  1.05484454  1.19533343  1.06350102
   1.13389597  1.13133919  1.15109248  1.17614852  1.18494547]
 [-2.24353744 -2.24353744 -2.24353744 -2.24353744 -2.24353744 -2.60747159
  -2.3245445  -2.65833947 -2.24437648 -2.70759538 -2.23216654 -2.55050863
  -2.3778257  -2.51349829 -2.32641123 -2.4965274  -2.23232334]
 [ 1.42062166  1.42062166  1.42062166  1.42062166  1.42062166  1.27651199
   1.29564039  0.9834984   1.01875268  0.74166658  0.76704518  0.72311122
   0.73518574  0.3287234   0.35505794 -0.02585345 -0.02009971]]"
"[[-0.13223565 -0.13223565 -0.13223565 -0.13223565 -0.13223565 -0.34691223
  -0.2574526  -0.41635265 -0.20125419 -0.26881542  0.07765403 -0.33833147
  -0.32671982 -0.31890952 -0.3207103  -0.37054418 -0.36467479]
 [-0.26195486 -0.26195486 -0.26195486 -0.26195486 -0.26195486 -0.12966749
  -0.44866287 -0.07374483 -0.4656183  -0.07778799 -0.27836512 -0.18220636
  -0.36713772 -0.17804193 -0.41585041 -0.14725828 -0.41734973]
 [ 1.50873585  1.50873585  1.50873585  1.50873585  1.50873585  1.32437551
   1.31408548  1.02662333  1.04414061  0.80035416  1.06377355  0.78282447
   0.77794227  0.36454804  0.3580252   0.0282106   0.07163484]]","[[ 0.26135544  0.26135544  0.26135544  0.26135544  0.26135544  0.47923681
   0.14083722  0.46460938  0.00687976  0.22455947  0.0822637   0.42574251
   0.19022123  0.46063863  0.19035515  0.53810622  0.20333882]
 [ 0.08632492  0.08632492  0.08632492  0.08632492  0.08632492  0.25551751
   0.33702046  0.06410092  0.22830425 -0.13943246 -0.00886694  0.29543545
   0.33356814  0.24874391  0.29856481  0.3518817   0.31714989]
 [ 1.54542103  1.54542103  1.54542103  1.54542103  1.54542103  1.37862064
   1.38195655  1.13312057  1.13928831  1.10864175  1.16982574  0.82410079
   0.8172664   0.39739364  0.39697662 -0.03193168 -0.03583306]]","[[ 1.14144295  1.14144295  1.14144295  1.14144295  1.14144295  1.36321872
   1.28263704  1.42343533  1.26676743  1.28954043  1.18151692  1.46075716
   1.33955151  1.4152229   1.38090384  1.46659261  1.47900001]
 [-0.2685105  -0.2685105  -0.2685105  -0.2685105  -0.2685105  -0.38541385
  -0.05545845 -0.46235692  0.01066435 -0.53523914 -0.02457429 -0.34499086
  -0.14079723 -0.45196743 -0.17801623 -0.50244053 -0.21661403]
 [ 1.54847123  1.54847123  1.54847123  1.54847123  1.54847123  1.37431757
   1.35986952  1.07859433  1.05440449  0.88601733  0.80760016  0.82141679
   0.80682143  0.35457932  0.38171348 -0.02374086  0.03009658]]","[[ 0.94925777  0.94925777  0.94925777  0.94925777  0.94925777  1.10069078
   1.18944723  1.13434054  1.2558924   1.06522592  1.18703628  1.05925796
   1.12895079  1.13941613  1.14924079  1.17506937  1.18838036]
 [-2.23930138 -2.23930138 -2.23930138 -2.23930138 -2.23930138 -2.58412959
  -2.30302556 -2.68788137 -2.26015969 -2.72650968 -2.2075551  -2.53065302
  -2.37756829 -2.52020282 -2.31908975 -2.49468368 -2.22693027]
 [ 1.42414779  1.42414779  1.42414779  1.42414779  1.42414779  1.28407898
   1.29892     0.99283288  1.02284557  0.74535495  0.78231452  0.72753638
   0.74957959  0.32820935  0.36152045 -0.02246111 -0.00751523]]"
"[[ 1.2240495   1.2240495   1.2240495   1.2240495   1.2240495   1.48663094
   1.30089933  1.54707523  1.25999436  1.48534912  1.15110683  1.50861117
   1.35252742  1.47798213  1.37348686  1.55439043  1.43684132]
 [-0.49508269 -0.49508269 -0.49508269 -0.49508269 -0.49508269 -0.49716758
  -0.2268019  -0.54895089 -0.14938612 -0.60222318 -0.17277566 -0.44706954
  -0.25137979 -0.4983142  -0.23531888 -0.5250991  -0.23354434]
 [ 1.53433643  1.53433643  1.53433643  1.53433643  1.53433643  1.38063067
   1.37558794  1.08630298  1.06100675  0.8252829   0.81175585  0.79580301
   0.81368518  0.34807122  0.38287671 -0.0299312   0.01957532]]","[[-0.12518968 -0.12518968 -0.12518968 -0.12518968 -0.12518968 -0.3360203
  -0.27644239 -0.40058033 -0.15876136 -0.25445773  0.05034272 -0.32612319
  -0.33679179 -0.32717936 -0.34134152 -0.37382312 -0.36319507]
 [-0.29176738 -0.29176738 -0.29176738 -0.29176738 -0.29176738 -0.12600915
  -0.44864585 -0.06170924 -0.42465482 -0.07887044 -0.28517636 -0.18027462
  -0.38831966 -0.18599289 -0.40703515 -0.14599137 -0.41040896]
 [ 1.51222007  1.51222007  1.51222007  1.51222007  1.51222007  1.32147377
   1.30737458  1.02280811  1.02717411  0.80455141  1.05136271  0.7834957
   0.77435032  0.36550163  0.36278631  0.03123633  0.07424035]]","[[ 0.26031827  0.26031827  0.26031827  0.26031827  0.26031827  0.43701622
   0.09403439  0.44337169 -0.08637643  0.35612417  0.08718486  0.34672048
   0.14787696  0.43068518  0.19254753  0.49635459  0.19534041]
 [ 0.09391017  0.09391017  0.09391017  0.09391017  0.09391017  0.29148139
   0.27754801  0.11647394  0.14604745 -0.08830315 -0.01031318  0.2989357
   0.28135871  0.25057238  0.29518763  0.34876277  0.31141478]
 [ 1.55673609  1.55673609  1.55673609  1.55673609  1.55673609  1.38432386
   1.38723383  1.11663072  1.21270968  1.24314395  1.36858559  0.81707788
   0.81264398  0.39517672  0.38131826 -0.02156244 -0.03236134]]","[[ 9.50512125e-01  9.50512125e-01  9.50512125e-01  9.50512125e-01
   9.50512125e-01  1.10428734e+00  1.20007357e+00  1.15231712e+00
   1.25656813e+00  1.08105128e+00  1.19815912e+00  1.08297461e+00
   1.15297517e+00  1.12066660e+00  1.16422324e+00  1.18230218e+00
   1.18559686e+00]
 [-2.23873927e+00 -2.23873927e+00 -2.23873927e+00 -2.23873927e+00
  -2.23873927e+00 -2.60301756e+00 -2.30997623e+00 -2.73408490e+00
  -2.24693369e+00 -2.73762249e+00 -2.20449577e+00 -2.56789735e+00
  -2.40570654e+00 -2.48277850e+00 -2.35724274e+00 -2.50398067e+00
  -2.19148748e+00]
 [ 1.42321399e+00  1.42321399e+00  1.42321399e+00  1.42321399e+00
   1.42321399e+00  1.28279906e+00  1.29484505e+00  9.76274820e-01
   1.02545013e+00  7.32267626e-01  7.77920288e-01  7.07777396e-01
   7.21956042e-01  3.30324902e-01  3.42524236e-01 -4.40658663e-02
  -8.15509598e-04]]"
"[[-0.11393558 -0.11393558 -0.11393558 -0.11393558 -0.11393558 -0.30948621
  -0.29733367 -0.38181354 -0.31009389 -0.24160166 -0.19716677 -0.32750047
  -0.32457497 -0.32251281 -0.3388041  -0.37517098 -0.36639761]
 [-0.29225648 -0.29225648 -0.29225648 -0.29225648 -0.29225648 -0.11135077
  -0.45278257 -0.04533183 -0.5387427  -0.0751595  -0.51610634 -0.18669832
  -0.40396593 -0.17184339 -0.40809336 -0.14415637 -0.41185951]
 [ 1.50617737  1.50617737  1.50617737  1.50617737  1.50617737  1.3250309
   1.31309721  1.02315693  1.01579554  0.79584687  0.75720494  0.78541718
   0.79006207  0.36905902  0.35684509  0.02960033  0.0688239 ]]","[[ 1.29300179  1.29300179  1.29300179  1.29300179  1.29300179  1.5507459
   1.31877137  1.60796483  1.27634497  1.54940889  1.16396534  1.52208153
   1.3480077   1.47115716  1.29103211  1.53357397  1.39630388]
 [-0.72530192 -0.72530192 -0.72530192 -0.72530192 -0.72530192 -0.66677125
  -0.4410197  -0.70038957 -0.34050386 -0.80341945 -0.42483256 -0.61877757
  -0.44358378 -0.60396722 -0.38822345 -0.54521619 -0.25318514]
 [ 1.54166093  1.54166093  1.54166093  1.54166093  1.54166093  1.36764951
   1.38872755  1.07824043  1.08876568  0.83238643  0.83970122  0.76527243
   0.80338771  0.35099787  0.38474283 -0.02917304 -0.0111935 ]]","[[ 0.32533265  0.32533265  0.32533265  0.32533265  0.32533265  0.43473941
   0.11253117  0.47175696 -0.06143984  0.39884434  0.13948139  0.33522475
   0.11806762  0.44454364  0.17671982  0.49601234  0.19881895]
 [ 0.085402    0.085402    0.085402    0.085402    0.085402    0.29493327
   0.26216693  0.067668    0.08758316 -0.10080823 -0.07657654  0.31010474
   0.2727715   0.25691489  0.2896885   0.33706802  0.31581997]
 [ 1.56737959  1.56737959  1.56737959  1.56737959  1.56737959  1.37439175
   1.4099063   1.1715216   1.2713791   1.33194042  1.39075496  0.81995992
   0.82095567  0.40909694  0.38730415 -0.02383592 -0.03156503]]","[[ 0.95226083  0.95226083  0.95226083  0.95226083  0.95226083  1.10643887
   1.20965767  1.16176187  1.26653754  1.09062536  1.19989295  1.09081991
   1.16265271  1.14641907  1.15087002  1.22314913  1.19318761]
 [-2.22641932 -2.22641932 -2.22641932 -2.22641932 -2.22641932 -2.60323252
  -2.32118456 -2.7302355  -2.25674446 -2.73083603 -2.21183655 -2.57688365
  -2.40516128 -2.55436286 -2.33829851 -2.5872154  -2.23593392]
 [ 1.42333815  1.42333815  1.42333815  1.42333815  1.42333815  1.27477536
   1.29088049  0.97749821  1.02039334  0.72691303  0.77904817  0.6992277
   0.71485237  0.30202492  0.3442493  -0.06257268 -0.0029071 ]]"
"[[ 1.17528225  1.17528225  1.17528225  1.17528225  1.17528225  1.46789827
   1.26948712  1.54046693  1.23476227  1.52449625  1.1280999   1.4873102
   1.32382268  1.48271576  1.25865498  1.50747443  1.19560917]
 [-0.7791962  -0.7791962  -0.7791962  -0.7791962  -0.7791962  -0.83380972
  -0.56864138 -0.8372811  -0.47385742 -0.90088065 -0.5256723  -0.69385024
  -0.5660874  -0.63405299 -0.6747798  -0.55412421 -0.7119554 ]
 [ 1.55168685  1.55168685  1.55168685  1.55168685  1.55168685  1.35633871
   1.38244314  1.07598013  1.09939932  0.81709649  0.86759815  0.80540018
   0.8245184   0.37202991  0.40595831 -0.0366228  -0.03360745]]","[[-0.12159789 -0.12159789 -0.12159789 -0.12159789 -0.12159789 -0.32910929
  -0.31645033 -0.36270481 -0.33000985 -0.27449316 -0.21398293 -0.35130102
  -0.33396913 -0.31759949 -0.33232038 -0.37682037 -0.3666522 ]
 [-0.30420709 -0.30420709 -0.30420709 -0.30420709 -0.30420709 -0.1108655
  -0.46089786 -0.05632482 -0.51486322 -0.07864362 -0.54844894 -0.18271246
  -0.40328674 -0.18344796 -0.41743678 -0.1467151  -0.41356045]
 [ 1.52021249  1.52021249  1.52021249  1.52021249  1.52021249  1.3175425
   1.30861127  1.02675877  1.01499626  0.82434414  0.77072488  0.79511654
   0.79575731  0.36819398  0.37600446  0.03179636  0.0723442 ]]","[[ 0.31625085  0.31625085  0.31625085  0.31625085  0.31625085  0.46861974
   0.13786335  0.46792472 -0.08560508  0.36249187  0.12891823  0.36660374
   0.16380967  0.44458632  0.18754128  0.49195276  0.19626969]
 [ 0.0800739   0.0800739   0.0800739   0.0800739   0.0800739   0.28487701
   0.23706744  0.06955362  0.07027791 -0.11720268 -0.08539609  0.2834031
   0.23468613  0.26585873  0.28127034  0.34107174  0.31600793]
 [ 1.55260631  1.55260631  1.55260631  1.55260631  1.55260631  1.37210415
   1.39744449  1.16721914  1.27071783  1.31378529  1.39709733  0.80814703
   0.82065012  0.38721081  0.3861497  -0.0286443  -0.04310971]]","[[ 0.95414241  0.95414241  0.95414241  0.95414241  0.95414241  1.10391364
   1.19892535  1.12811306  1.2687775   1.08873021  1.20513999  1.0921973
   1.16063902  1.14691015  1.16919892  1.20114624  1.19228557]
 [-2.23130215 -2.23130215 -2.23130215 -2.23130215 -2.23130215 -2.5905642
  -2.29152469 -2.67647809 -2.25434119 -2.73819698 -2.21999637 -2.58286815
  -2.41327262 -2.53305434 -2.35514016 -2.55484408 -2.20865039]
 [ 1.4173241   1.4173241   1.4173241   1.4173241   1.4173241   1.27431254
   1.29693857  0.98051027  1.02101611  0.72399305  0.76709749  0.68586103
   0.70849074  0.29895572  0.33931768 -0.05969397 -0.01021038]]","[[-0.12395809 -0.12395809 -0.12395809 -0.12395809 -0.12395809 -0.30575804
  -0.32868396 -0.3650423  -0.30178714 -0.22827334 -0.23978324 -0.31155503
  -0.37956747 -0.30256697 -0.32264856 -0.36401576 -0.37731706]
 [-0.27484561 -0.27484561 -0.27484561 -0.27484561 -0.27484561 -0.10966752
  -0.44097816 -0.05183398 -0.53765293 -0.08629475 -0.55028412 -0.18894477
  -0.41558393 -0.1644537  -0.41871216 -0.17033944 -0.431476  ]
 [ 1.50176828  1.50176828  1.50176828  1.50176828  1.50176828  1.31458738
   1.31038696  1.02441279  1.04229346  0.79362528  0.79152913  0.78308358
   0.78550656  0.38643419  0.36864137 -0.02581836 -0.05218633]]"
"[[ 1.01924825  1.01924825  1.01924825  1.01924825  1.01924825  1.30285711
   1.16170253  1.35898848  1.1309036   1.37630199  1.07283212  1.36174773
   1.19188268  1.39439551  1.17410919  1.48040505  1.17635086]
 [-0.8785512  -0.8785512  -0.8785512  -0.8785512  -0.8785512  -0.97512191
  -0.71203536 -1.00199282 -0.65167049 -1.06736288 -0.62093638 -0.92680913
  -0.73737967 -0.83943567 -0.85255385 -0.60917786 -0.91282183]
 [ 1.53095188  1.53095188  1.53095188  1.53095188  1.53095188  1.37207805
   1.389676    1.0817307   1.07659436  0.84346672  0.82220594  0.79427186
   0.81722602  0.37916337  0.3793364   0.02880111 -0.01158145]]","[[-0.15173078 -0.15173078 -0.15173078 -0.15173078 -0.15173078 -0.31227406
  -0.32694323 -0.36994304 -0.30199265 -0.23070708 -0.19648556 -0.33987976
  -0.33312849 -0.31741051 -0.32380326 -0.36760455 -0.36033695]
 [-0.32326355 -0.32326355 -0.32326355 -0.32326355 -0.32326355 -0.13016876
  -0.4617221  -0.0541358  -0.50205123 -0.08656191 -0.53057097 -0.1746067
  -0.41682325 -0.17982062 -0.42063082 -0.14404579 -0.4110701 ]
 [ 1.50585254  1.50585254  1.50585254  1.50585254  1.50585254  1.31843492
   1.30143175  1.02381493  1.01413074  0.79188402  0.81652474  0.79453529
   0.7917699   0.3796887   0.38137668  0.02783734  0.06643219]]","[[ 0.30701088  0.30701088  0.30701088  0.30701088  0.30701088  0.45363554
   0.12803274  0.45542272 -0.11745062  0.36978238  0.16708746  0.38608262
   0.16516735  0.44193895  0.18172449  0.49767711  0.20773187]
 [ 0.07382312  0.07382312  0.07382312  0.07382312  0.07382312  0.24832851
   0.27789677  0.05987574  0.08104766 -0.12208026 -0.09212386  0.2709814
   0.24127699  0.26912227  0.27654133  0.33553029  0.31447811]
 [ 1.56632533  1.56632533  1.56632533  1.56632533  1.56632533  1.35956846
   1.41905768  1.15517589  1.34398676  1.3143131   1.43281105  0.80622193
   0.82716039  0.38891144  0.38712875 -0.0306785  -0.02077377]]","[[ 0.94929581  0.94929581  0.94929581  0.94929581  0.94929581  1.15678781
   1.13317478  1.10397185  1.13217352  1.06301652  1.09599012  1.29632709
   1.17575379  1.44522809  1.1906004   1.20812277  1.20041069]
 [-2.22980067 -2.22980067 -2.22980067 -2.22980067 -2.22980067 -2.66165522
  -2.17315927 -2.65372869 -2.04465502 -2.67631886 -2.01420234 -2.92676141
  -2.41482382 -3.05602473 -2.40964346 -2.55059685 -2.24513592]
 [ 1.41767609  1.41767609  1.41767609  1.41767609  1.41767609  1.27346159
   1.30807071  0.97524171  1.03637567  0.74879838  0.8162881   0.60691071
   0.70219192  0.13396221  0.32852149 -0.06483746 -0.00871435]]"
"[[ 0.8891913   0.8891913   0.8891913   0.8891913   0.8891913   1.15927728
   1.02328089  1.26746277  1.00129724  1.15488611  0.88532828  1.21410928
   1.07338291  1.17145721  1.10583952  1.28828601  1.18815541]
 [-0.91285101 -0.91285101 -0.91285101 -0.91285101 -0.91285101 -1.10039008
  -0.79215636 -1.15586693 -0.74302228 -1.25919137 -0.81805305 -1.06603727
  -0.89856552 -1.15142503 -0.91768198 -1.00439737 -0.91829361]
 [ 1.54860054  1.54860054  1.54860054  1.54860054  1.54860054  1.38502089
   1.36012308  1.11885961  1.06628185  0.88953809  0.87012513  0.82490112
   0.80092934  0.4041281   0.37512752  0.0677913  -0.01850103]]","[[-0.13870845 -0.13870845 -0.13870845 -0.13870845 -0.13870845 -0.32069534
  -0.3247551  -0.37741145 -0.30307565 -0.24039157 -0.2111313  -0.3321086
  -0.35782965 -0.30275396 -0.3465834  -0.36387416 -0.37258327]
 [-0.30235757 -0.30235757 -0.30235757 -0.30235757 -0.30235757 -0.13378504
  -0.46651276 -0.06178525 -0.52953618 -0.09456394 -0.53792857 -0.1949505
  -0.41560186 -0.19882487 -0.42434257 -0.14784415 -0.41261552]
 [ 1.50509059  1.50509059  1.50509059  1.50509059  1.50509059  1.32182638
   1.30624948  1.0268158   1.02087393  0.79635752  0.81210343  0.79570922
   0.77761051  0.36717578  0.36308581  0.02980982  0.07668374]]","[[ 0.32644865  0.32644865  0.32644865  0.32644865  0.32644865  0.46185732
   0.14981761  0.47054316 -0.04667784  0.35723025  0.1405343   0.3958554
   0.16841145  0.4463488   0.17649029  0.50825247  0.19098068]
 [ 0.08283603  0.08283603  0.08283603  0.08283603  0.08283603  0.27820543
   0.23139786  0.06368548  0.07837261 -0.11710582 -0.07959878  0.27148468
   0.2529361   0.26265648  0.2726627   0.3413236   0.31669616]
 [ 1.55788726  1.55788726  1.55788726  1.55788726  1.55788726  1.37712305
   1.40311664  1.15114659  1.33836798  1.31645989  1.39904122  0.80981859
   0.82837742  0.39987792  0.38645716 -0.02632606 -0.0336705 ]]"
"[[ 0.84365514  0.84365514  0.84365514  0.84365514  0.84365514  0.97521472
   1.03979269  0.92621809  1.0609733   0.88581374  0.90131549  1.00071394
   1.04665772  0.99173053  1.09098549  1.04635215  1.19264935]
 [-1.0193014  -1.0193014  -1.0193014  -1.0193014  -1.0193014  -1.25913117
  -0.92032719 -1.35653554 -0.83893218 -1.37597286 -0.84525029 -1.2056805
  -0.97337543 -1.25604448 -0.96484968 -1.29629486 -0.94231878]
 [ 1.56211038  1.56211038  1.56211038  1.56211038  1.56211038  1.36865004
   1.36297836  1.07988185  1.07575888  0.83462914  0.84350134  0.79495821
   0.80684748  0.3659593   0.37704696 -0.02894982 -0.03636841]]","[[-0.13531067 -0.13531067 -0.13531067 -0.13531067 -0.13531067 -0.32295826
  -0.28871276 -0.39168276 -0.3119862  -0.23930413 -0.24021133 -0.33274392
  -0.32803067 -0.31347586 -0.34463859 -0.36985946 -0.36266351]
 [-0.29580932 -0.29580932 -0.29580932 -0.29580932 -0.29580932 -0.13712417
  -0.47415593 -0.07172986 -0.51019148 -0.08735489 -0.54851165 -0.18950113
  -0.40946787 -0.18336286 -0.41959042 -0.14533647 -0.41382778]
 [ 1.51662466  1.51662466  1.51662466  1.51662466  1.51662466  1.31839435
   1.31130848  1.02681599  1.01506731  0.80140005  0.81976029  0.80499304
   0.79395747  0.3726426   0.3597282   0.02976476  0.07470872]]","[[ 0.33463534  0.33463534  0.33463534  0.33463534  0.33463534  0.46968846
   0.15398858  0.4653156  -0.03980165  0.37266055  0.14738519  0.40286116
   0.18609951  0.46273962  0.18724498  0.49257591  0.20497546]
 [ 0.07928049  0.07928049  0.07928049  0.07928049  0.07928049  0.28534052
   0.22963011  0.05067549  0.078315   -0.10565625 -0.08030121  0.27509371
   0.24397259  0.24837968  0.27290128  0.32393347  0.31811416]
 [ 1.55363421  1.55363421  1.55363421  1.55363421  1.55363421  1.37646049
   1.40644448  1.16903354  1.33845338  1.3125202   1.39876461  0.79928414
   0.82893951  0.40255479  0.38436557 -0.03133349 -0.01877338]]"
"[[ 0.79465409  0.79465409  0.79465409  0.79465409  0.79465409  0.84830625
   1.03107256  0.82513224  1.12748656  0.73874027  1.0591563   0.91256065
   1.04035533  0.95761519  1.03773778  1.04602325  1.13263328]
 [-1.11592982 -1.11592982 -1.11592982 -1.11592982 -1.11592982 -1.38395046
  -1.09128099 -1.45791964 -1.03161361 -1.42766828 -0.93321272 -1.2904526
  -1.09904409 -1.2960713  -1.05121412 -1.30013752 -1.05655433]
 [ 1.57612104  1.57612104  1.57612104  1.57612104  1.57612104  1.36188865
   1.38657525  1.08950122  1.10007411  0.84617536  0.85705584  0.78460356
   0.80413346  0.37051883  0.38179683 -0.03225491 -0.01768634]]","[[-0.12670682 -0.12670682 -0.12670682 -0.12670682 -0.12670682 -0.31886945
  -0.32164189 -0.38019416 -0.31255962 -0.24012893 -0.21453303 -0.32714925
  -0.35680982 -0.31009823 -0.34561066 -0.36226764 -0.35908312]
 [-0.33827277 -0.33827277 -0.33827277 -0.33827277 -0.33827277 -0.13154798
  -0.46461464 -0.05101835 -0.50244977 -0.08855431 -0.5285455  -0.20299872
  -0.42207316 -0.18220479 -0.41813188 -0.1400586  -0.41306096]
 [ 1.51859242  1.51859242  1.51859242  1.51859242  1.51859242  1.32180497
   1.30670168  1.02875806  1.01901222  0.79574431  0.81435055  0.79111667
   0.78116667  0.37321207  0.35790341  0.02655645  0.07048379]]","[[ 0.33913045  0.33913045  0.33913045  0.33913045  0.33913045  0.45598135
   0.1591238   0.47257646 -0.03495645  0.36976315  0.14850806  0.40481705
   0.16081953  0.4546383   0.18076804  0.50302914  0.20777903]
 [ 0.08504299  0.08504299  0.08504299  0.08504299  0.08504299  0.27731129
   0.23295558  0.05178735  0.06463293 -0.0966333  -0.07231221  0.28493071
   0.26358426  0.23655647  0.27609778  0.33542699  0.31944965]
 [ 1.55381552  1.55381552  1.55381552  1.55381552  1.55381552  1.36864819
   1.40818209  1.15555952  1.33853373  1.32468318  1.39773396  0.80428476
   0.81617287  0.40639947  0.38499984 -0.01871908 -0.02707394]]","[[ 1.02257266  1.02257266  1.02257266  1.02257266  1.02257266  0.95827616
   1.23431841  0.85312057  1.32714454  0.77171968  1.29928123  0.97975949
   1.18682726  0.98543736  1.15194445  0.97687686  1.07389044]
 [-2.0609211  -2.0609211  -2.0609211  -2.0609211  -2.0609211  -2.23237493
  -2.09792207 -2.14302711 -2.14612594 -2.12777777 -2.1165359  -2.21825026
  -2.18616087 -2.24421242 -2.16302518 -2.03061656 -1.85348213]
 [ 1.43766364  1.43766364  1.43766364  1.43766364  1.43766364  1.3226046
   1.29315822  1.08208298  1.00532863  0.84048101  0.74597571  0.77894382
   0.75849322  0.39538302  0.39349599  0.27159581  0.29822084]]"
"[[ 0.82022431  0.82022431  0.82022431  0.82022431  0.82022431  0.78275806
   1.09265899  0.77586717  1.16242886  0.70006037  1.10726364  0.91274243
   1.0840269   0.97716014  1.05222316  1.0147842   1.14928311]
 [-1.11427587 -1.11427587 -1.11427587 -1.11427587 -1.11427587 -1.39410792
  -1.2042467  -1.46385113 -1.17193458 -1.41077406 -1.07144094 -1.34278913
  -1.22117619 -1.50577677 -1.2017035  -1.32129052 -1.16285692]
 [ 1.56257393  1.56257393  1.56257393  1.56257393  1.56257393  1.34924146
   1.39436316  1.07353892  1.11800062  0.8257507   0.88279268  0.78199706
   0.81960533  0.4284235   0.46609234  0.02547039  0.07734422]]","[[-0.14782681 -0.14782681 -0.14782681 -0.14782681 -0.14782681 -0.35267325
  -0.32455265 -0.38796707 -0.30556165 -0.27191142 -0.17825252 -0.3573479
  -0.32100166 -0.32053499 -0.32794912 -0.36682028 -0.3568245 ]
 [-0.33085791 -0.33085791 -0.33085791 -0.33085791 -0.33085791 -0.12660349
  -0.46983883 -0.07105303 -0.51544745 -0.08550597 -0.49075439 -0.19152924
  -0.4044222  -0.17950634 -0.42212077 -0.1443601  -0.40786368]
 [ 1.51767301  1.51767301  1.51767301  1.51767301  1.51767301  1.32275224
   1.30165473  1.02876136  0.99350723  0.83444538  0.78945259  0.79524717
   0.79443324  0.37713552  0.39163321  0.02760232  0.06762136]]","[[ 0.33896396  0.33896396  0.33896396  0.33896396  0.33896396  0.46295577
   0.13074631  0.46964933 -0.03689969  0.35466475  0.13139368  0.40695836
   0.17066149  0.47247688  0.18654443  0.51076618  0.20439359]
 [ 0.08638194  0.08638194  0.08638194  0.08638194  0.08638194  0.28075516
   0.27190585  0.0640479   0.08724472 -0.12002102 -0.07823748  0.2822647
   0.2430673   0.24928686  0.28525046  0.31769192  0.31346133]
 [ 1.54668014  1.54668014  1.54668014  1.54668014  1.54668014  1.36439109
   1.41215537  1.14773668  1.33086695  1.31147864  1.39678346  0.80568517
   0.82105559  0.3947596   0.39369743 -0.04034804 -0.01705557]]","[[-0.13063037 -0.13063037 -0.13063037 -0.13063037 -0.13063037 -0.31975382
  -0.3317773  -0.36989297 -0.2997955  -0.23136402 -0.21756151 -0.30699936
  -0.37409452 -0.29897492 -0.32171139 -0.3531051  -0.37738729]
 [-0.27748023 -0.27748023 -0.27748023 -0.27748023 -0.27748023 -0.13168633
  -0.45844259 -0.06686495 -0.52347895 -0.08653885 -0.48630871 -0.17739718
  -0.39993846 -0.1903395  -0.42131293 -0.16628808 -0.43970179]
 [ 1.51132325  1.51132325  1.51132325  1.51132325  1.51132325  1.32059124
   1.29569937  1.02209965  1.02921253  0.79568093  0.79958842  0.78525065
   0.78728754  0.37216324  0.36844632 -0.02313394 -0.05162403]]"
